Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
Current id, road_id, lane_id: 4075 -1
